"","time","meanX","meanY","meanZ","sdX","sdY","sdZ","sdT","energyX","energyY","energyZ","energyT","lat","lon"
"1",0,0,0,0,0,0,0,0,0,0,0,0,50.8941836428571,-1.39402534285714
"2",7.385,-0.108519627702561,0.804619578016806,0.000874441513808188,0.724864096470658,1.05217493245518,0.89690534331338,1.5610699028882,6.38779850298247,9.15824072822367,8.39705403742257,13.9709648721266,50.8941994113475,-1.39414835460993
"3",14.99,-0.0579848136025198,0.767116821119377,-0.066108375834797,0.742955422630607,1.0175919236553,0.869034872887263,1.53058736875714,6.09087593607712,8.30862140025985,8.31584759657031,13.2395347535676,50.8940430283688,-1.39434429078014
"4",22.39,-0.0692622699950324,0.803117212984282,-0.0334301957955014,0.758224387544949,1.00238774747849,0.88155348801219,1.53519444058053,6.77962822149106,8.30751277584915,8.1143558222582,13.4469661170373,50.8938325602837,-1.39420527659574
"5",29.766,-0.00507809507160741,0.800068369166811,-0.0686045691736729,0.73393906349259,1.01508657893724,0.82310238941669,1.49885451432831,6.22233910785167,8.7083809215283,7.55585022789631,13.1013081375082,50.8937476312057,-1.39381837588652
"6",37.248,-0.0774243432663848,0.829943916656873,0.00614768120848665,0.692517201164781,0.973428539636957,0.836084925832868,1.45814306530388,5.97044003107041,8.05276170170679,7.9814974581072,12.8139543803954,50.8937170638298,-1.39346065248227
"7",45.073,-0.0305326760066161,0.780360727538332,-0.0217943681903554,0.721821911219701,0.991604410503564,0.933599490506646,1.54140007367369,6.26988955273915,8.29694943783202,8.82049639288369,13.6364233431777,50.8936861702128,-1.39314573049645
"8",52.806,-0.0454367829054824,0.761499167493061,-0.0104342715411786,0.733602420268102,0.992253856480294,0.876905683510697,1.51383744322057,6.53230390759364,8.02577236028191,8.02416532181972,13.0947029531839,50.8937750780142,-1.39290103546099
"9",60.205,-0.0171015405080814,0.753564140528404,-0.0173920785106851,0.822582147697768,1.06842076888099,0.874955036840245,1.60739249891849,6.60503670777835,8.41118366893217,8.31723817747727,13.5480984468115,50.8940173758865,-1.39278168085106
"10",67.743,-0.0347406692323371,0.780081191012772,-0.00739347264623652,0.799022839944407,1.05601211942449,0.910327461369915,1.60695214055939,6.88633965144289,9.20084690429688,8.60262901207422,14.3555732546884,50.8941799432624,-1.39273855319149
"11",75.134,-0.0338303610580533,0.764153117261609,-0.0952424584116577,0.750428200787799,1.07171415042212,0.895304310862914,1.5853338808599,6.04971050841686,7.82936235438118,8.20915879837084,12.8564458653517,50.8942793971631,-1.3931114822695
"12",82.673,0.0240536592373207,0.73904535539116,-0.132079562009709,0.778265610669037,1.10039155464939,0.900957126878184,1.62119791474278,6.2363010484358,8.32801414956396,7.94729181353679,13.0922388311384,50.8943209148936,-1.3934980141844
