"","time","meanX","meanY","meanZ","sdX","sdY","sdZ","sdT","energyX","energyY","energyZ","energyT","lat","lon","entropyX","entropyY","entropyZ","entropyT"
"1",0,0,0,0,0,0,0,0,0,0,0,0,50.8997050857143,-1.39984760714286,0,0,0,0
"2",7.24,-0.11049339568767,0.690881526637729,-0.687312325590431,0.121094786085836,0.233283251000146,0.264241387333783,0.372704350919671,1.00316218800003,1.52949804432384,1.76016128241319,2.53847717798091,50.8984074326241,-1.39903135460993,4.53756278798051,4.3700787411392,4.37395469328574,7.66932486712739
"3",14.587,-0.192504662663553,0.761780512478033,-0.620848171689798,0.145713825596057,0.238531469394943,0.255924566173313,0.378981746832941,1.12660840104872,1.57395980184226,1.77775724772932,2.62812038898202,50.8984954397163,-1.39918279432624,4.46031173845743,4.34541860276823,4.35129095248397,7.59676092757131
"4",21.981,-0.172795611239654,0.772659980775464,-0.594543014530958,0.143955644788248,0.248689444439971,0.268132269892912,0.393019823418853,1.11377033502529,1.63713562363613,1.84279400916493,2.70491906895104,50.8985397730496,-1.39924141843972,4.43939371617731,4.33926237396251,4.34910689749754,7.57971934329906
"5",29.367,-0.217456135321304,0.762805593221179,-0.605692836385184,0.167468563330259,0.235748079900741,0.251926057925939,0.383522640195974,1.21926569054612,1.44004988482213,1.6600602260121,2.51319566466809,50.8985600638298,-1.39923517730496,4.44673929689332,4.28991697828299,4.32272462769795,7.54074441033525
"6",36.758,-0.261879701182286,0.775527358197764,-0.570078177035957,0.19879459271255,0.242466871596755,0.256153661116598,0.404875501873234,1.46147766927996,1.57086498411015,1.85470111211966,2.83609766958144,50.8986692624113,-1.39929065248227,4.43317876866961,4.30421691337143,4.4331431157116,7.60474293561044
"7",44.17,-0.244887517052868,0.769202355413015,-0.587819007315813,0.203586146484345,0.236724891748894,0.241913894513276,0.394978892818909,1.24936135594138,1.15473494023465,1.45427615665499,2.23813219442767,50.8987751134752,-1.39937573758865,4.33068688310731,4.09837038677614,4.30059522291062,7.35163981558148
"8",51.585,-0.206264905880226,0.69482939752718,-0.667890190491704,0.15697861562723,0.200777648564571,0.294404642843404,0.389394457658442,1.23198845665527,1.29759616770009,1.9296493890054,2.63155811948942,50.8988224184397,-1.39941241134752,4.49922562453212,4.38891030755385,4.36871791857781,7.65449287414272
"9",58.974,-0.233238635436528,0.732293980599053,-0.617755050713603,0.190493958292178,0.22122313648172,0.237685648891339,0.376459947337733,1.18801205667823,1.261153400094,1.51524716436602,2.30170686980353,50.8989101631206,-1.39949321985816,4.28228695942741,4.2062589265962,4.29483642055376,7.38080047418756
"10",66.38,-0.203180558653043,0.746271376396541,-0.627942205529311,0.18896844371128,0.242024285182984,0.240372354567115,0.389953453859735,1.21095674933814,1.34905410231054,1.45285244368882,2.32317529318411,50.899036,-1.39967490780142,4.34950648704294,4.27329281051834,4.29129486883585,7.45616857216582
