"","time","meanX","meanY","meanZ","sdX","sdY","sdZ","sdT","energyX","energyY","energyZ","energyT","lat","lon"
"1",0,0,0,0,0,0,0,0,0,0,0,0,50.8942489357143,-1.39386637857143
"2",7.468,-0.0875700755506085,1.03238272107687,0.0672565211575594,0.453253991697028,0.60537857114489,0.641309797405162,0.991564749090329,3.95877774697253,4.82945546058565,5.32265410973021,8.20525490570119,50.8942893546099,-1.39356107092199
"3",14.922,-0.117533589231092,1.01687918411882,0.0282436118867858,0.475656781013514,0.654027374623271,0.638677030481467,1.03048994626118,3.95678787735898,5.3204783116542,5.80960816360136,8.81562288132729,50.8942704822695,-1.39366236170213
"4",22.332,-0.0939204606268045,0.991530555707073,0.0327059571689189,0.471418064382254,0.638580572374814,0.622854591618225,1.00894399306421,4.25544142249759,5.74422211539656,5.60456003955442,9.0838297346598,50.8941234964539,-1.39374762411348
"5",29.998,-0.089304852445753,1.0368309848027,0.0635734295232134,0.437030602260618,0.61918053931463,0.686715030524824,1.02272079314295,4.06285576281013,5.16442203723208,5.93693408567949,8.85580251957726,50.8939792695035,-1.39385763829787
"6",37.404,-0.100096415864024,0.995940784247072,0.0642790982166556,0.459882293326812,0.626635430355361,0.677700396091337,1.03123300623794,4.05871802051512,5.03367297246838,5.77400609296069,8.6689216125975,50.8939044751773,-1.39389981560284
"7",44.864,-0.094494468625288,1.01802700029798,0.0337875890767364,0.444015590680064,0.606165968077683,0.665081834118512,1.00345446916986,4.12189471541802,5.22880365590698,5.87809121962045,8.88157419060362,50.8938382624114,-1.39387441134752
"8",52.311,-0.0671659473991773,1.00360187409822,0.036905881298026,0.434905377307458,0.627859166661778,0.614524625378965,0.980301145347348,3.89850259113678,5.49059088457393,5.68866773786369,8.81509224833625,50.8937729787234,-1.39387219858156
"9",60.037,-0.0823705275441259,1.02677589488213,0.0467171193796186,0.451189835591053,0.642902783056786,0.690306313602653,1.04566680295519,3.86172089321084,5.19999019982114,6.43682402748117,9.13156557749305,50.8937286737589,-1.39379913475177
"10",67.472,-0.0902516854275145,0.998980050873367,0.0533531022902972,0.446551608329171,0.583672527110733,0.631263082937163,0.968800824568461,4.01442114500767,4.98058014162037,5.99402278291742,8.76641687342787,50.8937146312057,-1.39366285106383
"11",74.918,-0.0730734945042115,1.00233227858193,0.0623227629914671,0.38834060847596,0.568068590343712,0.615235296303193,0.923051906094045,3.27008542409525,4.1721537056715,4.81140147854847,7.15890420472345,50.8936950851064,-1.39356463829787
"12",82.385,-0.0928867245421366,1.02576329900783,0.0420663200535282,0.415211039344017,0.611398989317281,0.648980491399532,0.983557120633321,3.54678575736855,5.08784008168363,5.81280973649453,8.50026840388846,50.8936649078014,-1.39343582978723
"13",89.861,-0.0925150480212857,1.00839654077314,0.0260238154429141,0.478762508571445,0.626427490497781,0.658156245112407,1.02703192912656,4.11846601513335,5.26444028822987,5.62653016146172,8.73692941049569,50.8936371560284,-1.3932225177305
"14",97.41,-0.0774544030872971,1.02119921733209,0.0192763662146377,0.45342720063778,0.617631736445255,0.599131529054532,0.972637536418278,4.28367364381198,5.20911946899442,5.26481697526079,8.55588004310137,50.8936336453901,-1.39307492907801
"15",104.93,-0.0745370204539439,1.03099323713835,0.057453399132103,0.404080886676385,0.615807210305074,0.613844048797429,0.958803629261441,3.60302988773129,5.21713168855196,5.43332023928851,8.34992552363434,50.8936680780142,-1.3929069929078
"16",112.336,-0.0942149764846078,0.979993866889549,0.0164041906538133,0.445610629362559,0.618858112173386,0.55083325494164,0.940729222865595,4.0469734914192,5.39644625808496,5.47288729157479,8.68631809013057,50.8937555319149,-1.39284178014184
"17",119.803,-0.071690340843356,1.00753859503401,0.0815791181281199,0.418444523111437,0.590133040635076,0.620967053176721,0.953390216911281,3.63968837191352,5.01153681810836,5.56373549769477,8.32574233400284,50.8938548156028,-1.39283095035461
"18",127.28,-0.0697765560860044,1.0186881302338,0.0469654800148805,0.401679269594952,0.597310781791602,0.605552984334385,0.940649149525533,3.67691637265852,5.1694805981837,5.29715878026849,8.26457106024853,50.8939430567376,-1.39281672340426
"19",134.802,-0.0942543082068913,1.01761952969584,0.0505553489061368,0.388646162373191,0.580301364442423,0.654342872311481,0.95705804821128,3.30322058965788,4.92283895757312,5.82108779968072,8.3084699456477,50.8940578085106,-1.39281260283688
"20",142.221,-0.0911859111658866,1.03680323574514,0.0265504733715658,0.461657261305033,0.607192220843118,0.67116862276185,1.01601040356293,4.07907709122565,4.98911684091789,6.12342103894602,8.88968177094654,50.8941646453901,-1.39290535460993
"21",149.701,-0.0882405558964054,1.04039414750344,0.0213790564112596,0.455962815622179,0.635724790113852,0.644945394283264,1.01390466001622,4.13554489483961,5.41711520419492,5.91266777004046,9.02261097862636,50.8942769148936,-1.39289536170213
"22",157.143,-0.0871163126239221,1.03969182790803,0.0617902027399899,0.497453212645412,0.619152798935429,0.631631900531102,1.01477521893735,4.06089902078187,5.03550039360982,5.3845196823384,8.41666307276948,50.8943728652482,-1.3930864893617
"23",164.582,-0.0926127719908486,1.02190123336388,-0.00540487768249593,0.485641227316443,0.613190748434459,0.657919533531849,1.02210978286963,4.12809339717287,4.94193550107823,5.98114189978971,8.78851182044034,50.8944122907801,-1.39329295035461
"24",171.987,-0.0825763562275876,1.0209249330589,-0.00514619450457396,0.414490973322728,0.540664468293308,0.628571468607144,0.926942784311874,3.869522000393,4.92864353979607,5.93091115307611,8.62788703910648,50.8943646808511,-1.39355271631206
