"","time","meanX","meanY","meanZ","sdX","sdY","sdZ","sdT","energyX","energyY","energyZ","energyT","lat","lon","entropyX","entropyY","entropyZ","entropyT"
"1",0,0,0,0,0,0,0,0,0,0,0,0,50.8945611071429,-1.39390718571429,0,0,0,0
"2",7.311,-0.0741033131678836,1.03123250704144,0.015906857566819,0.356789796988152,0.577000771767388,0.573251759548712,0.888170270657998,3.2821109217964,4.64641303317586,4.7473653463163,7.40937810543143,50.8943361276596,-1.39390133333333,4.60338094158482,4.4831319341097,4.54289510223375,7.86940175247648
"3",14.684,-0.129433602336237,1.01690483386383,0.0464447538647733,0.440735775376714,0.628141687932588,0.652335097396215,1.00714998044514,3.72270218526234,4.65954579596269,5.51325962097835,8.12194005353037,50.894306,-1.393757,4.52950142189175,4.41178145157032,4.56758017360355,7.80019149442086
"4",21.807,-0.115931091520445,1.03049982336544,0.0288105552553113,0.512292669865127,0.689740684090545,0.622433149224057,1.06094722589779,4.2415339907661,5.82372943086757,5.37035317699759,8.98594059208413,50.8942613191489,-1.3938149787234,4.53102002388035,4.555130065847,4.55937348771865,7.87827639614781
"5",28.983,-0.125208880684293,0.998422496529564,0.0233110355274888,0.401039281780204,0.617630761753704,0.695496362643259,1.01292420932923,3.84316494835996,5.19243826631007,5.88801464650303,8.74071212471719,50.8940268297872,-1.39388928368794,4.67241151782189,4.56779990786827,4.54713655868239,7.96069571541972
"6",36.313,-0.113398540341588,1.00505801998681,0.0540526364499534,0.4320900468998,0.620906859228352,0.686740590354276,1.02168477276841,3.74932609600258,5.35395831132433,6.23798748218723,9.03519803886386,50.8939086241135,-1.39386832624113,4.56443939432274,4.5475679320447,4.60089177660943,7.91723981075974
"7",43.635,-0.114335593876262,1.02851546312873,0.0094414058325934,0.458966252442275,0.621689961743323,0.673572244558967,1.02510877376673,4.0887843094274,5.07390915069969,5.94439356901163,8.82034727785026,50.8939007304965,-1.39387659574468,4.58005447222039,4.51335680185781,4.58762687871053,7.89896252476548
"8",51.112,-0.113564181177175,1.00138004222901,0.0496334422450357,0.471156018582439,0.697158869965139,0.678868512480773,1.08114797370914,4.23203256506832,5.72469747417545,5.7600203894584,9.15751580340465,50.8938575248227,-1.3939354893617,4.58436234849247,4.52697828825328,4.56280818042403,7.89487992663197
"9",58.663,-0.124714998312479,1.03610489563844,0.0742377280529182,0.457108600897571,0.641019360809636,0.622993703795143,1.0039797054302,4.08757953857019,5.24559423362753,5.20380183551976,8.44417662601647,50.8938159716312,-1.39394330496454,4.58362610047601,4.51390826664277,4.53512305345713,7.87098069992737
"10",66.118,-0.135560307060347,1.04171873252717,0.0779148604444066,0.512322718431249,0.659734964971137,0.712270101281751,1.09774928330934,4.52205651871053,4.86210480383698,6.06068533075116,8.9900481066727,50.8937872482269,-1.39382635460993,4.57039632630619,4.396394460966,4.55691074190367,7.80911277582817
