Elapsed Time,X,Y,Z,Latitude,Longitude,Altitude,Accuracy,Speed,GPS Age,Mark,Min X,Max X,Min Y,Max Y,Min Z,Max Z
"0.000","0.1075","-0.5656","-0.7001","50.894573","-1.393950","19.533","65","-1.0","0.000","","0.1075","0.1075","-0.5656","-0.5656","-0.7001","-0.7001"
"0.054","0.0782","-0.5106","-0.9590","50.894573","-1.393950","19.533","65","-1.0","0.054","","0.0782","0.0782","-0.5106","-0.5106","-0.9590","-0.9590"
"0.105","0.0774","-0.5440","-0.8162","50.894573","-1.393950","19.533","65","-1.0","0.105","","0.0774","0.0774","-0.5440","-0.5440","-0.8162","-0.8162"
"0.162","0.0395","-0.4880","-0.8453","50.894573","-1.393950","19.533","65","-1.0","0.162","","0.0395","0.0395","-0.4880","-0.4880","-0.8453","-0.8453"
"0.212","-0.0492","-0.4973","-0.6957","50.894573","-1.393950","19.533","65","-1.0","0.212","","-0.0492","-0.0492","-0.4973","-0.4973","-0.6957","-0.6957"
"0.268","-0.0792","-0.5093","-0.8370","50.894573","-1.393950","19.533","65","-1.0","0.268","","-0.0792","-0.0792","-0.5093","-0.5093","-0.8370","-0.8370"
"0.318","0.0364","-0.6242","-0.8798","50.894573","-1.393950","19.533","65","-1.0","0.318","","0.0364","0.0364","-0.6242","-0.6242","-0.8798","-0.8798"
"0.369","-0.0307","-0.4618","-0.9575","50.894573","-1.393950","19.533","65","-1.0","0.369","","-0.0307","-0.0307","-0.4618","-0.4618","-0.9575","-0.9575"
"0.419","0.0666","-0.5965","-0.8832","50.894573","-1.393950","19.533","65","-1.0","0.419","","0.0666","0.0666","-0.5965","-0.5965","-0.8832","-0.8832"
"0.470","-0.0068","-0.3934","-1.0057","50.894573","-1.393950","19.533","65","-1.0","0.470","","-0.0068","-0.0068","-0.3934","-0.3934","-1.0057","-1.0057"
"0.523","0.0474","-0.4453","-0.8521","50.894573","-1.393950","19.533","65","-1.0","0.523","","0.0474","0.0474","-0.4453","-0.4453","-0.8521","-0.8521"
"0.578","0.1255","-0.4243","-0.9409","50.894573","-1.393950","19.533","65","-1.0","0.578","","0.1255","0.1255","-0.4243","-0.4243","-0.9409","-0.9409"
"0.634","0.1597","-0.5166","-0.8477","50.894573","-1.393950","19.533","65","-1.0","0.634","","0.1597","0.1597","-0.5166","-0.5166","-0.8477","-0.8477"
"0.686","0.1762","-0.5203","-0.8891","50.894573","-1.393950","19.533","65","-1.0","0.686","","0.1762","0.1762","-0.5203","-0.5203","-0.8891","-0.8891"
"0.739","0.0413","-0.5146","-0.7743","50.894573","-1.393950","19.533","65","-1.0","0.739","","0.0413","0.0413","-0.5146","-0.5146","-0.7743","-0.7743"
