"","time","meanX","meanY","meanZ","sdX","sdY","sdZ","sdT","energyX","energyY","energyZ","energyT","lat","lon"
"1",0,0,0,0,0,0,0,0,0,0,0,0,50.8943008714286,-1.39336626428571
"2",7.511,-0.083461176470206,0.750730223615177,0.265438494421498,0.913811334486174,1.04865865815696,0.945609548081645,1.68193744050905,7.02225139079565,6.85551743012039,8.6524112171422,13.0833617125242,50.8942542695035,-1.39403556737589
"3",15.166,0.00640432842728133,0.796248694189767,0.351926631858628,0.894330777213439,1.03641775564909,0.95795848529622,1.67083026153075,5.88564119389615,5.65255922602809,7.9472715033508,11.3908437973231,50.8941285319149,-1.39420844680851
"4",22.748,-0.0782327548270078,0.773109595056782,0.157337619291686,0.790934390217363,1.01336557241901,0.93260157526539,1.58815386256499,5.94486446769321,6.46059986129958,8.24258502250877,12.0424653605627,50.8939505035461,-1.39414565248227
"5",30.517,-0.0557365464090667,0.770294799839569,0.32752027087399,0.942729902221982,1.02715031109381,1.00407395895093,1.71812163282085,6.6291629314422,6.24225880844161,8.63425662180168,12.5483856975429,50.8938730780142,-1.39395619148936
"6",38.098,-0.0268373020444616,0.768409560025152,0.3171803617835,0.924073128386369,1.03398843722136,0.924578151664648,1.66669973104001,7.30251057067631,7.52909568800774,8.00382502353765,13.1937544892052,50.8938660638298,-1.39360734751773
"7",45.568,-0.134872265067563,0.775773748560111,0.281358488568134,0.978681730866111,1.07111466102871,0.938956910476757,1.72822007485557,6.04966836733553,6.29531050348358,7.70473036137916,11.6444103170392,50.8938401631206,-1.39324997163121
"8",53.127,-0.0617170299298711,0.735473663765722,0.286680133513464,0.829113659589885,1.00060459841078,0.919903232255007,1.59212467463843,6.93367348866701,7.10132002660168,8.6632807046751,13.1741036406905,50.8937992695035,-1.39295185106383
"9",60.597,-0.0567506456984665,0.75694716014894,0.379188866696201,0.969520421947916,1.09118735689081,0.947471047954371,1.74021868830448,6.29245179801744,5.76666737826695,8.12723833227619,11.7856440295624,50.8939118865248,-1.39285690070922
"10",68.216,-0.0526799573217926,0.752388675594734,0.401253011510425,0.927924391980127,1.05234318033641,0.972181578379616,1.70692907520287,6.69032236002512,6.28718675065022,7.75946240225624,12.0207482001177,50.8940803546099,-1.39280463120567
"11",75.797,-0.0389306279721847,0.827963691617606,0.334253419726445,0.913593659989956,1.03964392521887,0.945128400069389,1.67594169332828,7.97582433741698,7.06332340230164,8.40654122889915,13.5710812679026,50.8942426453901,-1.39290392907801
"12",83.527,-0.0416494695935517,0.789634720917176,0.314315668701498,0.907550657903606,1.00995431277475,0.932790328956786,1.64734747650545,6.49389242544977,7.01284148781571,8.68304764052471,12.9130128511577,50.8943112624113,-1.39330546808511
